...1,census_tract_number,total_population,california_county,children_10_percent,pop_11_64_years_percent,elderly_65_percent,hispanic_percent,white_percent,african_american_percent,native_american_percent,asian_american_percent,other_percent,zip,nearby_city,ces_3_0_score,sb_535_disadvantaged_community,ozone,pm2_5,diesel_pm,drinking_water,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,low_birth_weight,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score
95,6037122410,3794,Los Angeles,17.2,75.2,7.6,83.2,7.6,4.6,0,3.3,1.2,91605,North Hollywood,66.93,Yes,0.055,12.05,21.73,618.05,0,1121.260416,808.32,16.5,45,0.395,0,3.5,60.36,7.44,78.9,5.37,13.7,47.1,29.6,73.8,16.5,34.2,86.8,9
1702,6037127604,2939,Los Angeles,14.9,71.4,13.7,53.1,27.8,6.8,0.1,9.3,2.8,91406,Van Nuys,41.49,Yes,0.057,10.79,31.67,618.05,0,650.7426179,1927.3,7.35,0,0,0,0,45.34,5.59,74.19,5.18,10.44,23.7,31.5,63.9,6.1,27.2,71.62,7.43
79,6073003902,4927,San Diego,18.8,75.8,5.4,88.7,2.9,6.3,0.2,1.1,0.6,92113,San Diego,67.79,Yes,0.038,11.21,58.557,228.07,0,4415.764498,1208.22,7.55,29.25,7.115,15,17.5,62.77,7.73,127.1,4.96,9.63,59.9,35.4,76.6,20.7,32.1,84.54,8.77
6300,6089010803,4908,Shasta,11.5,72.6,15.9,7.6,81.9,1,1.2,4.9,3.4,96003,Redding,11.9,No,0.042,6.18286598,10.485,280.07,0,18.53030786,715.39,3,0,0,1,0.5,19.94,2.46,54.34,4.17,8.68,7.2,3.3,43,5.5,26.2,46.7,4.84
2920,6001432300,4656,Alameda,15.7,75.2,9.1,35.5,21.6,10.6,0.5,28.5,3.2,94577,San Leandro,31.5,No,0.03,8.69794377,29.22,70.6,0,521.2894195,387.16,39.6,66.5,0.6,2,2.5,42.53,5.24,72.37,5.22,8.64,18,19.2,22,7.2,17.5,57.97,6.01
3831,6095253107,6016,Solano,15.7,73.9,10.4,30.6,50,7.6,0.9,5.3,5.7,95687,Vacaville,25.13,No,0.042,7.85958451,14.55,242.15,0,452.2506028,855.8,0.5,13.3,0.2,2,0.5,33.41,4.12,72.28,5.26,9.59,12.1,2.5,29.4,11.6,21.3,58.89,6.11
6590,6037670416,4139,Los Angeles,9.3,67.6,23.1,5.9,50.2,2.7,0.1,36.1,5,90275,Rancho Palos Verdes,10.07,No,0.044,12.05,3.126,217.71,0,1612.583549,233.75,19,0.9,0,8,0.25,32.59,4.01,12.04,5.52,4.66,1.4,5.7,16.1,5.8,14.5,24.2,2.51
297,6037231720,4966,Los Angeles,17.3,74.8,7.9,78.1,1.2,17.2,0.1,2.2,1.3,90037,Los Angeles,59.28,Yes,0.046,12.89,41.19,664.07,0,3883.416477,4043.36,4.85,0,0,0,1.25,52.4,6.45,92.32,6.39,10.6,53.5,31.8,70.7,14.2,40.6,88.55,9.18
6387,6059099235,4619,Orange,10,74.5,15.5,16,69.2,0.9,0.3,10,3.6,92646,Huntington Beach,11.5,No,0.044,11.21,9.226,237.82,2.35,8568.270588,842.34,0,10,0.17,0,0.4,41.57,5.12,19,3.13,3.97,6.7,2.1,28.7,6.9,22.1,21.65,2.25
281,6019002702,5882,Fresno,22,73.4,4.6,80.7,4.1,3,0.3,11,1,93702,Fresno,59.8,Yes,0.065,15.4,30.067,681.2,0,3595.957918,599.92,4,1.9,0.05,0,0,50.55,6.23,119.79,7.52,17.15,54.3,18.9,79,14.4,27.8,92.6,9.6
1690,6071003900,5484,San Bernardino,17.7,74.1,8.2,81.3,11.9,4.8,0.3,0.9,0.7,92376,Rialto,41.57,Yes,0.065,12.89,13.231,760,0,1771.85302,400.26,0,0,0.1,0,0,41.52,5.11,84.92,5.18,15.65,45.7,17.8,52.3,20.6,14.8,78.38,8.13
3708,6037181300,3629,Los Angeles,10.2,73.8,16,33.3,31.6,2.2,0.2,30,2.7,90041,Los Angeles,26,No,0.05,12.05,21.83,439.5,0,2250,2449.15,0,3,0.25,0,6,51.26,6.31,35.57,8.93,5.21,9.8,8.1,16.1,6.3,11.5,39.71,4.12
2702,6037462201,3788,Los Angeles,9.6,66.1,24.3,39.6,31.2,10.6,0.3,15.8,2.5,91101,Pasadena,33.06,No,0.053,10.37,26.26,589.04,0,2799.139265,2231.89,1.4,0.75,0.075,0,2,48.43,5.96,20.83,6.45,3.96,20,21.4,51.2,12.1,25.6,53.45,5.54
5155,6071002018,5342,San Bernardino,12,81.1,6.9,28.6,52.1,7.8,0.2,7.5,3.8,91737,Rancho Cucamonga,17.83,No,0.065,12.47,15.428,510.06,0,2682.039729,1113.01,0,0,0,0,0,40.7,5.01,28.06,4.06,8.64,6.4,4.8,22,10.9,9,34.29,3.56
5028,6037503703,7876,Los Angeles,8.8,67.2,24,20.4,30.9,1.8,0.2,44.8,1.9,90638,La Mirada,18.49,No,0.046,11.21,11.024,514.51,0,6024.92166,790.21,1.2,0,0,7,0.25,39.75,4.9,30.84,3.45,7.78,9.1,17.9,18.9,8,14.7,36.41,3.78
7492,6073017047,4021,San Diego,14.6,75,10.4,9.2,74.8,1.4,0.2,10.7,3.7,92131,San Diego,2.95,No,0.044,9.53630303,13.728,228.07,0,55.80870889,402.73,0,0,0,1,0,18.95,2.33,15.33,3.66,4.81,2.1,1.4,6.1,8.3,8.3,12.19,1.26
743,6019003003,4154,Fresno,19.4,70.5,10.1,49.8,18.2,8,0.5,21.1,2.4,93727,Fresno,51.6,Yes,0.065,15.4,25.432,888.23,0.04,2407.25441,467.89,0,0,0,0,0.4,46.52,5.73,75.44,8.33,10.71,34.9,14.9,77.2,15.8,33.3,86.83,9.01
6941,6085507600,5563,Santa Clara,8.2,73.2,18.6,2.6,51.5,0.3,0.1,42.2,3.4,95070,Saratoga,8.11,No,0.035,10.37,4.204,651.03,0.18,260.5697195,255.25,0,10,0,8,0,30.3,3.73,14.82,6.25,4.94,0.4,4.4,5.2,3.8,8.8,20.95,2.17
6854,6085502908,6683,Santa Clara,14.9,74.1,11,20.4,56.7,2.6,0.3,15.9,4.1,95124,San Jose,8.56,No,0.038,10.37,14.42,479.23,0,83.83868838,784.72,6,15,0.125,0,0,34.39,4.24,25.27,4.48,5.5,4.1,3.3,14.9,3.2,10.5,19.49,2.02
1980,6025011202,5444,Imperial,18.3,71,10.7,86.7,9.6,1.7,0.2,1.3,0.5,92243,El Centro,39.03,No,0.055,7.85958451,9.723,267.16,47.82,23.90680096,616.28,0.25,12,0.75,7,0,40.77,5.02,75.8,3.99,9.72,37.6,32,80,24.5,23.2,74.94,7.77
5112,6111003608,3838,Ventura,16.6,76.8,6.6,70.8,16.7,2.3,0.3,8,1.9,93035,Oxnard,18.05,No,0.044,9.53630303,10.67,285.13,102.56,307.8335091,336.5,5,7.5,0,0,0,31.96,3.94,36.76,5.11,6.09,28.3,7.6,43.2,6.2,15.2,44.22,4.59
1408,6115040100,4615,Yuba,11.9,77.9,10.2,26.1,57.8,4.6,2.3,5,4.2,95901,Marysville,44.25,Yes,0.048,8.69794377,11.396,528.09,148.01,0.310668489,498.66,13,39.55,0.2,6,9.55,52.68,6.49,50.08,4.7,13.87,20.2,5,68.9,16.9,17.9,65.76,6.82
4612,6059052416,4006,Orange,12.2,78.7,9.1,32,51.9,1.5,0.6,11.7,2.3,92630,Lake Forest,20.65,No,0.05,8.69794377,11.584,410.88,0.92,3594.314545,498.75,0,7.25,0.15,12,1,44.64,5.5,28.19,5.17,7.34,13.3,7.4,24.2,3.8,12.6,36.22,3.76
6968,6057000103,7893,Nevada,8.9,70.4,20.7,5.8,89.8,0.3,0.7,1.2,2.3,95949,Grass Valley,7.94,No,0.053,6.60204561,1.161,319.25,0.04,0.184317704,302.85,5.5,0.3,0,3,3.7,24.64,3.04,27.6,4.35,5.03,4.8,0,20.3,10.5,14.5,25.24,2.62
3,6019000200,3167,Fresno,21.5,72.5,6,63.6,5.3,18.9,0.6,9.8,1.8,93706,Fresno,85.97,Yes,0.062,15.4,47.445,681.2,3.03,12454.94841,576.52,22,30.25,0.2,0,2.5,71.16,8.76,142.12,10.16,14.96,42.3,16.7,86.8,16.1,40.1,94.58,9.81
7201,6073011000,2799,San Diego,9,70,21,11,78.6,1.9,0.3,5.3,3,92118,Coronado,6.18,No,0.038,11.21,62.209,132.47,0,383.8438803,826.72,4.4,1.8,0.01,7,0,37.24,4.59,22.16,3.18,3.23,1.8,3.2,14.2,5.1,14.6,12.98,1.35
4820,6037408723,2825,Los Angeles,9.6,78.8,11.6,31.3,11.4,0.9,0.1,54.8,1.5,91748,Rowland Heights,19.56,No,0.05,11.63,6.616,271.22,0,10040.04632,852.32,0,1.5,0.07,0,0,34.3,4.22,30.74,3.88,6.63,18.7,28.2,46.6,9.6,14.9,44.63,4.63
1754,6037234000,5335,Los Angeles,10.9,74.4,14.7,31.4,2.9,60,0.2,2,3.5,90008,Los Angeles,41.03,Yes,0.046,12.47,26.04,664.07,0,2930.067278,1023.77,0.5,4.5,2.05,0,0,50.35,6.2,70.65,8.62,5.8,21.1,5.7,39.2,13,22.2,63.79,6.62
3166,6019007201,7671,Fresno,14.8,71.5,13.7,34.9,57.4,0.2,0.6,4.8,2.1,93631,Kingsburg,29.72,No,0.065,16.24,10.641,717.58,6220.65,710.7268347,305.6,0,2.75,0.725,2,2.7,57.75,7.11,62.19,3.01,8.63,9.1,4.1,30.7,8.5,10.7,40.29,4.18
4575,6097152903,5114,Sonoma,17.2,75.6,7.2,52.7,31.2,4.2,1,8.3,2.6,95403,Santa Rosa,20.88,No,0.03,6.18286598,21.68,231.46,0,50.74470092,502.86,0,17.6,0.035,4,0.5,25.02,3.08,48.92,5.14,7.83,38.5,16.6,60.6,12.9,21,65.33,6.78
5201,6085503903,3301,Santa Clara,13.9,74,12.1,49.9,12.4,1.3,0.3,34.3,1.9,95127,San Jose,17.63,No,0.038,10.37,11.09,479.23,0,230.9292092,687.21,0,4,0,0,0,25.23,3.11,42.19,4.2,7.39,32.7,21.4,41.5,7.7,29,54.72,5.68
5385,6085503321,4658,Santa Clara,11.1,78.3,10.6,12.9,4.9,1.4,0.3,79,1.6,95148,San Jose,16.75,No,0.038,10.37,25.397,407.4,0,165.1083964,663.6,0,0,0.01,0,0,26.71,3.29,30.66,6.81,6.6,22.1,13,14.8,9,17.5,49.1,5.09
1439,6001402500,1784,Alameda,19.5,74.2,6.3,4.5,8.1,66.8,0.4,16.5,3.6,94607,Oakland,43.96,Yes,0.03,8.69794377,76.11,70.6,0,330.6953216,531.54,56.8,106.9,0.38,10,0.5,45.72,5.63,165.52,7.3,6.44,18.4,12.4,75.5,25.5,20.5,75.26,7.81
554,6071009400,3493,San Bernardino,18.9,73,8.1,44.9,26.5,20.2,1.1,2.4,5,92311,Barstow,54.51,Yes,0.06,7.02122524,17.148,796.04,14.9,17.21142318,450.83,0,47.5,4,0,3.7,48.79,6.01,220.9,5.7,20.38,26.6,11.6,75.9,31.4,31.6,87.46,9.07
6694,6111001202,7191,Ventura,11.5,75.2,13.3,21.2,69.9,0.9,0.3,4.1,3.5,93004,Ventura,9.51,No,0.044,9.53630303,3.784,346.35,288.32,67.9286158,465.1,0,0,0.25,1,0,30.13,3.71,35.26,2.02,7.88,6,2.8,9.6,7.3,12.1,24.72,2.56
250,6037187102,3254,Los Angeles,11,77.4,11.6,60,16,1.4,0.1,21.1,1.3,90039,Los Angeles,61.18,Yes,0.048,12.47,26.943,443.32,0,3279.973919,2074.23,58,55,7.06,8,6.5,71.18,8.77,61.04,5.93,9.09,19.9,21.7,39.8,8.1,24.8,67.29,6.98
2158,6067004903,6740,Sacramento,19.3,73.5,7.2,22.7,8.9,24.6,0.4,38,5.5,95823,Sacramento,37.25,No,0.048,9.53630303,13.83,574.61,0,64.55346865,553.35,2,3.5,0,5,0,32.08,3.95,119.33,6.84,13.9,36.8,15.8,70,21.4,31.4,90.89,9.43
960,6065042800,9260,Riverside,22.9,72,5.1,77,8.8,10.6,0.4,1.6,1.6,92570,Perris,48.8,Yes,0.065,12.47,12.8,743.04,0,331,865.72,0,21,0,0,22,50.45,6.21,51.58,4.82,12.21,45.5,12,69.8,21.7,28.4,75.74,7.85
551,6037540300,5267,Los Angeles,16.5,77.6,5.9,95.3,1.3,2.4,0.2,0.2,0.5,90262,Lynwood,54.54,Yes,0.044,12.05,25.034,523.96,0,6104.631607,1994.94,101.95,24.9,1.27,0,22.2,65.13,8.02,46.97,4.92,9.2,60.6,12.4,66.3,10.6,19.9,65.56,6.8
513,6047000201,3626,Merced,17.1,72.5,10.4,56.9,36,0.2,0.6,4.1,2.1,95303,Ballico,55.14,Yes,0.057,12.89,6.024,883.97,6879.98,282.9364476,447.08,10.2,24.3,0.1,10,14,67.07,8.26,46.66,5.19,9.81,31.3,16.5,54,13.2,13.6,64.36,6.67
4375,6037900803,8284,Los Angeles,17.6,75,7.4,38.8,32,20.9,0.5,4.5,3.4,93534,Lancaster,22.06,No,0.062,6.18286598,6.74,577.84,0,9.564310269,359.61,0,0,0.01,0,1.25,22.43,2.76,150.23,7.89,15.66,20.2,5.2,44.6,12.3,16.5,77.01,7.99
958,6037104701,4208,Los Angeles,21.2,73.3,5.5,95.5,0.9,2.9,0.1,0.3,0.5,91331,Pacoima,48.83,Yes,0.057,11.21,16.385,618.05,0,679.0971607,921.2,14.5,1.5,0.2,0,0,46.56,5.73,73.79,6.13,7.7,59.3,21.7,82.8,21.4,36.6,82.1,8.51
6225,6033001300,7575,Lake,11.8,74.7,13.5,15.7,77.6,1,1.4,1.5,2.9,95461,Middletown,12.32,No,0.035,5.18665423,0.548,497.34,0.54,0.020092094,212.64,9.4,12,5,3,4,32.4,3.99,29.21,4.02,4.83,8.6,1.6,30.7,9.4,18.6,29.77,3.09
1995,6047000603,6143,Merced,19.3,71.2,9.5,56.5,33.8,4.3,0.6,3,1.8,95301,Atwater,38.91,No,0.057,12.89,15.61,550.73,4471.64,31.09435005,296.53,12,12,0.1,0,0,49.49,6.1,61.21,3.73,10.7,26.7,6.7,57,17.8,15.8,61.55,6.38
6152,6073017030,17064,San Diego,18.1,72.9,9,8.8,54.5,2.3,0.2,29.3,5,92127,San Diego,12.69,No,0.046,10.37,16.132,239.9,2.67,21.90236543,1997.97,8.1,25,0.15,16,1,52.56,6.47,15.72,5,5.18,2.8,7.6,5,3.9,7.8,18.9,1.96
6349,6037269500,4043,Los Angeles,18,67.3,14.7,3.9,86.3,1.5,0,5.6,2.7,90034,Los Angeles,11.68,No,0.046,12.05,25.448,587.51,0,1654.39523,1038.27,1.25,7.75,0.05,0,0,44.75,5.51,27.03,4.15,6.67,2.4,4.3,7.1,5.2,9.4,20.44,2.12
4947,6037400900,4086,Los Angeles,12,75.8,12.2,27.5,58.7,1.3,0.3,9.8,2.4,91741,Glendora,18.92,No,0.057,11.21,12.044,486.53,0,4125.048698,399.66,4.5,3,0.1,0,3.5,43.22,5.32,34.49,3.38,6.49,9.8,6.5,26.6,5.5,24.6,34.27,3.55
6094,6071009108,6825,San Bernardino,13.2,77.3,9.5,33.3,59.1,2.2,0.5,2.2,2.8,92371,Phelan,13.03,No,0.065,6.18286598,1.89,401.16,0,150.2070988,274.71,0,0,0,0,0,18.54,2.28,55.04,4.22,9.61,23.9,2.6,38.8,22.4,14.6,55.03,5.71
7235,6085508203,5172,Santa Clara,19.7,66.6,13.7,4.8,42.1,1.1,0.1,47.9,4,94087,Sunnyvale,5.94,No,0.035,10.37,23.304,374.42,0,276.0457956,720.92,5.7,18.75,0.22,0,0,37.78,4.65,16.43,2.71,5.58,2,6.4,7.2,5.9,5,12.32,1.28
5823,6073008361,2642,San Diego,6.7,84.9,8.4,9.2,59.8,1.6,0,24.9,4.4,92037,La Jolla,14.49,No,0.042,9.53630303,19.59,228.07,0,97.00434053,969.31,1,1,0.5,2,0,32.14,3.96,16.66,7.19,3.73,0.4,6.7,35.3,2.8,29.1,35.29,3.66
2230,6067006500,6637,Sacramento,18.7,74.1,7.2,27.4,19.3,25.5,0.9,21.7,5.2,95838,Sacramento,36.67,No,0.05,9.53630303,14.571,80.01,0,152.5526786,890.74,3.7,5,0.035,6,0,33.7,4.15,114.26,6.59,17.12,23,6.1,67.5,18,31.5,85.18,8.83
1584,6071007407,2940,San Bernardino,20.8,74.6,4.6,52.4,12.4,25.6,1,6.1,2.4,92404,San Bernardino,42.58,Yes,0.068,12.05,15.08,620.97,0,607.0496287,1180.66,0,0,0,0,0,40.66,5.01,72.24,7.17,9.6,35.7,9,79.3,14.6,39.5,81.99,8.5
5070,6037571503,3700,Los Angeles,12.7,76,11.3,31.5,22.4,17.4,0.6,24.5,3.6,90807,Long Beach,18.26,No,0.042,11.21,19.994,289.59,0,5467.602037,566.94,1.75,3.5,0.195,0,2.5,40.41,4.98,38.3,4.49,5.33,10,2.1,33,9.8,16,35.37,3.67
7222,6075030302,3549,San Francisco,9.4,74.5,16.1,6.4,43.4,0.6,0.2,45.2,4.2,94116,San Francisco,6.03,No,0.03,8.69794377,39.657,171.2,0,201.5790721,1252.6,0,0,0,0,0,24.47,3.01,20.11,1.38,4.65,6.1,10.8,18.7,7.3,11.9,19.28,2
7194,6073009507,3369,San Diego,10.9,77.4,11.7,13.1,66.1,4,0.3,11.1,5.4,92124,San Diego,6.23,No,0.044,9.95548266,7.033,228.07,0.03,114.1545368,345.3,0,0.6,0,7,0,22.18,2.73,24.37,5.83,4.53,1.3,1.8,15.8,5,10.4,22,2.28
6852,6075031000,3494,San Francisco,10.2,73,16.8,10.6,49.3,2.8,0.2,32.7,4.3,94112,San Francisco,8.57,No,0.03,8.69794377,47.448,171.2,0,185.2436851,353.45,0,2,0.075,0,1,23.96,2.95,41.47,3.52,5.84,4.8,9.5,12.1,5.7,15.2,28.01,2.9
4644,6037143300,5871,Los Angeles,10.1,78.6,11.3,15.8,70.1,4.4,0.2,6.1,3.5,91602,North Hollywood,20.49,No,0.053,12.05,24.357,618.05,0,1308.880329,3026.92,0.1,0,0.035,6,1,51.54,6.35,27.72,4.65,6.19,4,6.6,20.2,6.7,17.6,31.12,3.23
2837,6077005134,4743,San Joaquin,12.5,77.9,9.6,32,56.5,3.3,0.7,4,3.5,95336,Manteca,32.11,No,0.05,12.89,19,780.52,0,1522.402655,456.02,0,0,0.025,0,0,39.23,4.83,112.4,4.96,12.44,18.2,4.1,28.7,17.9,11.9,64.07,6.64
4494,6001451101,7081,Alameda,15.7,76.5,7.8,15.5,63.6,2.7,0.3,13.8,4.1,94550,Livermore,21.24,No,0.044,9.53630303,2.806,805.55,5.99,77.00463092,659.23,31.5,96.05,22.9,15,30,61.16,7.53,34.49,3.87,8.14,3.3,4.4,9.9,7.3,8.4,27.19,2.82
3884,6029002821,4897,Kern,16.2,77.8,6,35.6,52.4,4.9,1,3.3,2.9,93311,Bakersfield,24.8,No,0.062,18.76,21.679,617.84,0,695.4534227,515.55,7,0,0.045,0,0,43.92,5.41,33.48,6.25,7.86,11.3,4,27.3,7.8,12.4,44.2,4.58
3030,6073020601,5560,San Diego,20.6,75,4.4,75.6,18.5,2.1,0.5,2.1,1.2,92025,Escondido,30.63,No,0.048,10.37,21.3,267.08,0,24.06630962,464.67,0.4,23.5,0.15,9,5,42.79,5.27,40.55,4.13,7.03,41.9,16.6,66,8,27.3,56.04,5.81
6673,6085502906,4521,Santa Clara,13.9,76.5,9.6,23.1,58.4,2.4,0.4,11.7,4,95118,San Jose,9.62,No,0.038,10.37,10.808,479.23,0,76.85394474,1026.3,0,15,0,1,0,28.82,3.55,28.39,3.56,5.24,9.3,6.4,27.1,6.4,13,26.14,2.71
6140,6001406800,3428,Alameda,13.1,74.4,12.5,11.1,39.6,15.1,0.3,29.4,4.5,94602,Oakland,12.77,No,0.03,8.69794377,29.929,70.6,0,363.7885203,548.79,0,5,0,0,0,22.11,2.72,72.72,4.32,6.45,11.8,9,15.4,9.3,16.9,45.2,4.69
5977,6001450751,2115,Alameda,22.3,73,4.7,6.8,31.8,3.6,0,53.9,4,94588,Pleasanton,13.69,No,0.04,8.69794377,29.715,380.14,0,203.5903473,2715.04,0,0,0.01,3,2,37.09,4.57,30.65,5.4,7.31,4.4,6.6,3.4,4.4,1,28.88,3
2910,6085503305,6069,Santa Clara,13.2,74.8,12,48.4,3.3,1.7,0.2,44.8,1.6,95122,San Jose,31.56,No,0.038,10.37,23.259,482.07,0,153.0434542,812.76,10,5,0.11,0,0,36.64,4.51,39.04,6.3,7.57,40.4,30.4,43.7,12,25.9,67.44,6.99
5111,6085512314,5932,Santa Clara,15.8,74.4,9.8,48.3,39.9,1.5,0.4,7.1,2.8,95037,Morgan Hill,18.05,No,0.04,8.69794377,7.288,366.78,261.74,27.83190455,272.83,1.75,4.5,0.075,0,0.2,27.17,3.35,40.1,4.32,9.19,21,8.1,36.9,9,21.8,52.01,5.39
5399,6075047902,3536,San Francisco,7.9,75.7,16.4,6.7,43.6,1.2,0.1,44.1,4.4,94121,San Francisco,16.68,No,0.03,7.85958451,38.292,171.2,0,221.8369902,315.88,7.4,9,0.1,10,0,32.55,4.01,23.94,5.78,5.57,8.5,7.1,26.6,8.2,21.8,40.1,4.16
4202,6107000100,5142,Tulare,9.7,71,19.3,23.3,71.9,0.4,1.1,1.4,2,93271,Three Rivers,23.06,No,0.068,10.37,0.349,906.68,15.62,11.58595635,78.98,9,6,0,3,6,45.09,5.55,31.92,5.67,5.59,10.6,1,32.4,10.6,17.6,40.04,4.15
3021,6037403722,5734,Los Angeles,15.8,76,8.2,62.5,21.7,3.7,0.2,9.8,2.1,91724,Covina,30.7,No,0.055,11.21,17.31,561.1,0,5777.075779,474.15,0,0,0.01,3,1,40.54,4.99,55.86,4.52,8.45,14.1,9.5,47.6,12.1,25.5,59.28,6.15
4134,6029000907,2463,Kern,19.2,73,7.8,66.4,27.2,3.7,1.3,0.6,0.9,93306,Bakersfield,23.44,No,0.062,19.6,14.744,454.56,0,12.20178409,467.44,0,0,0,0,0,30.48,3.75,75.27,3.83,9.32,23.2,9.4,49.6,12.7,16.9,60.21,6.24
7391,6001404501,1677,Alameda,13,67.6,19.4,5.8,72.2,4.3,0.1,11.7,6,94611,Oakland,4.49,No,0.03,8.69794377,22.17,70.6,0,395.6194896,723.5,0,0,0,1,0.6,22.33,2.75,28.07,3.6,4.5,2.7,3,2.9,8.8,2.9,15.74,1.63
5767,6073013314,14837,San Diego,19.5,76.8,3.7,44.9,20.1,5.4,0.2,25.1,4.3,91915,Chula Vista,14.73,No,0.038,14.99,12.763,332.2,0,590.8922904,351.69,1,0,0.125,7,0.1,34.17,4.21,24.37,5.69,5.87,7.5,2.9,24.8,8.2,14,33.75,3.5
406,6037534203,3204,Los Angeles,19.2,72.6,8.2,96.5,2.2,0.3,0.1,0.6,0.2,90201,Bell,57.21,Yes,0.046,12.05,16.41,475.4,5.55,8396.416651,634.38,17.1,15.25,0.735,10,4.9,65.74,8.1,44.76,4.55,9.38,56.2,27.8,61.6,9.9,30.9,68.13,7.07
